scenario_id,radius_km,client_tw_hours,client_tw_start,client_tw_end,depot_tw_start,depot_tw_end,service_time_sec,pharmacies_count,vehicles_used,total_distance_km,total_time_sec,execution_time_sec,status,timestamp
05_02_05,5,2,25200,32400,18000,68400,300,54,3,39.88939999999999,20766,38.14636421203613,OK,2025-12-09T17:30:21.764528
05_02_10,5,2,25200,32400,18000,68400,600,54,5,49.82379999999999,36020,21.280395030975342,OK,2025-12-09T17:30:43.087678
05_02_15,5,2,25200,32400,18000,68400,900,54,7,57.15430000000001,49824,22.350637197494507,OK,2025-12-09T17:31:05.507238
05_02_20,5,2,25200,32400,18000,68400,1200,54,9,70.443,63186,30.052090883255005,OK,2025-12-09T17:31:35.577068
05_02_25,5,2,25200,32400,18000,68400,1500,54,11,76.85509999999996,74366,29.87349820137024,OK,2025-12-09T17:32:05.469741
05_02_30,5,2,25200,32400,18000,68400,1800,54,14,88.98839999999998,83314,21.415534019470215,OK,2025-12-09T17:32:26.908332
05_03_05,5,3,25200,36000,18000,68400,300,54,2,39.16519999999999,20867,21.560447931289673,OK,2025-12-09T17:32:48.476217
05_03_10,5,3,25200,36000,18000,68400,600,54,4,42.08419999999998,35777,21.70268416404724,OK,2025-12-09T17:33:10.187545
05_03_15,5,3,25200,36000,18000,68400,900,54,5,44.818799999999996,50192,20.944591760635376,OK,2025-12-09T17:33:31.151705
05_03_20,5,3,25200,36000,18000,68400,1200,54,6,50.729299999999995,64391,21.023028135299683,OK,2025-12-09T17:33:52.191058
05_03_25,5,3,25200,36000,18000,68400,1500,54,8,59.555800000000026,76897,21.69587779045105,OK,2025-12-09T17:34:13.904968
05_03_30,5,3,25200,36000,18000,68400,1800,54,9,69.6724,90079,22.938838958740234,OK,2025-12-09T17:34:36.861646
05_04_05,5,4,25200,39600,18000,68400,300,54,2,39.3269,20892,21.793058156967163,OK,2025-12-09T17:34:58.693926
05_04_10,5,4,25200,39600,18000,68400,600,54,3,42.9807,36320,21.362027883529663,OK,2025-12-09T17:35:20.063625
05_04_15,5,4,25200,39600,18000,68400,900,54,4,44.2266,50954,77.07146286964417,OK,2025-12-09T17:36:37.144132
05_04_20,5,4,25200,39600,18000,68400,1200,54,5,48.581500000000005,65287,21.034503936767578,OK,2025-12-09T17:36:58.189242
05_04_25,5,4,25200,39600,18000,68400,1500,54,6,49.820700000000016,78685,21.08161997795105,OK,2025-12-09T17:37:19.283997
05_04_30,5,4,25200,39600,18000,68400,1800,54,7,63.798799999999986,92782,21.624989986419678,OK,2025-12-09T17:37:40.923143
05_05_05,5,5,25200,43200,18000,68400,300,54,2,36.67690000000001,20598,21.13866376876831,OK,2025-12-09T17:38:02.069455
05_05_10,5,5,25200,43200,18000,68400,600,54,2,36.0806,36246,21.094080924987793,OK,2025-12-09T17:38:23.175166
05_05_15,5,5,25200,43200,18000,68400,900,54,3,39.953700000000005,51378,21.258304119110107,OK,2025-12-09T17:38:44.536113
05_05_20,5,5,25200,43200,18000,68400,1200,54,4,47.98759999999999,66291,21.032165050506592,OK,2025-12-09T17:39:05.613417
